Quoi	Pt	quoi
ma	Ds	mon
retenue	Nc	retenue
,	Fw	,
et	Cc	et
ma	Ds	mon
discrétion	Nc	discrétion
;	Fw	;
Mon	Nc	mon
père	Nc	père
est	Vuc	être
Cosroës	Vvc	cosroës
,	Fw	,
ma	Ds	mon
mère	Nc	mère
fut	Vuc	être
Princesse	Ge	princesse
,	Fw	,
Et	Vvc	et
le	Da	le
degré	Nc	degré
de	S	de
l'	Da	le
âge	Nc	âge
,	Fw	,
et	Cc	et
le	Da	le
droit	Nc	droit
de	S	de
l'	Da	le
aînesse	Nc	aînesse
,	Fw	,
Et	Vvc	et
ce	Pd	ce
que	Pr	que
pour	S	pour
l'	Da	le
État	Nc	état
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
versé	Ge	verser
de	S	de
mon	Ds	mon
sang	Nc	sang
Sur	Ag	sur|sûr
lui	Pp	il
,	Fw	,
sans	S	sans
vanité	Nc	vanité
,	Fw	,
m'	Pp	je
acquièrent	Vvc	acquérir
quelque	Di	quelque
rang	Nc	rang
;	Fw	;
Et	Vvc	et
mettent	Vvc	mettre
entre	S	entre
nous	Pp	nous
assez	Rg	assez
de	S	de
différence	Nc	différence
,	Fw	,
Pour	Ag	pour
devoir	Nc	devoir
l'	Pp	il
obliger	Vvn	obliger
à	S	à
quelque	Di	quelque
déférence	Nc	déférence
,	Fw	,
Mais	Vvc	mais
,	Fw	,
Madame	Nc	madame
,	Fw	,
cessons	Vvc	cesser
,	Fw	,
cet	Dd	ce
indigne	Ag	indigne
entretien	Nc	entretien
.	Fs	.
Comparez	Vvc	comparer
-vous	Nc	-vous
le	Da	le
sang	Nc	sang
d'	S	de
Abdenede	Nc	abdenede
,	Fw	,
et	Cc	et
le	Da	le
mien	Ps	mien
!	Fs	!
Je	Pp	je
sais	Vvc	savoir
,	Fw	,
que	Cs	que
sa	Ds	son
naissance	Nc	naissance
,	Fw	,
à	S	à
la	Da	le
vôtre	As#Ps	vôtre
inégale	Ag	inégal|inégalé
,	Fw	,
Ne	Vvc	ne
se	Pp	il
peut	Vvc	pouvoir
pas	Rg	pas
vanter	Vvn	vanter
,	Fw	,
d'	S	de
une	Dn	un
tige	Nc	tige
Royale	Ag	royal
;	Fw	;
Et	Vvc	et
qu'	Cs	que
avant	S	avant
que	Cs	que
la	Pp	il
Perse	Vvc	perse
,	Fw	,
obéît	Vvc	obéir
à	S	à
vos	Ds	votre
lois	Nc	loi
,	Fw	,
Vous	Nc	vous
étiez	Vuc	être
déjà	Rg	déjà
soeur	Nc	sœur
,	Fw	,
fille	Nc	fille
,	Fw	,
et	Cc	et
veuve	Nc	veuf|veuve
de	S	de
Rois	Vvc	rois
.	Fs	.
Mais	Cc	mais
,	Fw	,
enfin	Rg	enfin
,	Fw	,
devant	S	devant
vous	Pp	vous
,	Fw	,
vous	Pp	vous
savez	Vvc	savoir
que	Cs	que
ma	Ds	mon
mère	Nc	mère
,	Fw	,
Possédait	Vvc	possédait
la	Da	le
puissance	Nc	puissance
,	Fw	,
et	Cc	et
le	Da	le
coeur	Nc	cœur
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
Et	Vvc	et
cet	Dd	ce
honneur	Nc	honneur
,	Fw	,
sans	S	sans
doute	Nc	doute
,	Fw	,
est	Vuc	être
le	Da	le
plus	Rg	plus
glorieux	Ag	glorieux
,	Fw	,
Qui	Vvc	qui
sur	S	sur
vous	Pp	vous
,	Fw	,
aujourd'hui	Rg	aujourd'hui
,	Fw	,
fasse	Vvc	faire
jeter	Vvn	jeter
les	Da	le
yeux	Nc	œil
.	Fs	.
Quand	Cs	quand
il	Pp	il
m'	Pp	je
a	Vuc	avoir
partagé	Ge	partager
,	Fw	,
l'	Da	le
éclat	Nc	éclat
qui	Pr	qui
l'	Pp	il
environne	Vvc	environner
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
dans	S	dans
son	Ds	son
alliance	Nc	alliance
,	Fw	,
apporté	Ge	apporter
ma	Ds	mon
Couronne	Nc	couronne
;	Fw	;
J'	Vvc	j'
en	Pp	en
achetai	Vvc	acheter
,	Fw	,
chez	S	chez
lui	Pp	il
,	Fw	,
le	Da	le
degré	Nc	degré
que	Pr	que
j'	Pp	je
y	Pp	y
tiens	Vvc	tenir
,	Fw	,
Et	Vvc	et
j'	Pp	je
ai	Vuc	avoir
,	Fw	,
comme	Cs	comme
mes	Ds	mon
jours	Nc	jour
,	Fw	,
joint	Vvc	joindre
mes	Ds	mon
États	Nc	états
aux	S+Da	à+les
siens	Ps	sien
,	Fw	,
Je	Vvc	je
lui	Pp	il
dus	Vvc	devoir
sembler	Vvn	sembler
belle	Ag	beau
,	Fw	,
avec	S	avec
un	Dn	un
Diadème	Nc	diadème
.	Fs	.
Abdenede	Vvc	abdenede
,	Fw	,
avec	S	avec
lui	Pp	il
,	Fw	,
n'	Rp	ne
apporta	Vvc	apporter
qu'	Cs	que
elle	Pp	il
-même	Vvc	-même
;	Fw	;
Et	Vvc	et
le	Da	le
trésor	Nc	trésor
,	Fw	,
encor	Nc	encor
,	Fw	,
n'	Rp	ne
était	Vuc	être
pas	Rg	pas
de	S	de
grand	Ag	grand
prix	Nc	prix
.	Fs	.
Il	Pp	il
faut	Vvc	faillir|falloir
bien	Rg	bien
du	S+Da	de+le
respect	Nc	respect
,	Fw	,
à	S	à
souffrir	Vvn	souffrir
vos	Ds	votre
mépris	Nc	mépris
!	Fs	!
Vous	Pp	vous
vous	Pp	vous
plaindrez	Vvc	plaindre
,	Fw	,
encor	Nc	encor
,	Fw	,
après	S	après
votre	Ds	votre
insolence	Nc	insolence
!	Fs	!
Vous	Pp	vous
ne	Rp	ne
sauriez	Vvc	savoir
parler	Vvn	parler
,	Fw	,
qu'	Pr	que
avecques	Vvc	avecques
violence	Nc	violence
!	Fs	!
Cette	Dd	ce
fureur	Nc	fureur
,	Fw	,
sied	Vvc	seoir
mal	Rg	mal
,	Fw	,
au	S+Da	à+le
rang	Nc	rang
que	Pr	que
vous	Pp	vous
tenez	Vvc	tenir
.	Fs	.
Il	Pp	il
sied	Vvc	seoir
bien	Rg	bien
,	Fw	,
de	S	de
ranger	Vvn	ranger
,	Fw	,
des	S+Da	de+le|de+les
esprits	Nc	esprit
mutinés	Ge	mutiner
;	Fw	;
J'	Vvc	j'
ai	Vuc	avoir
raison	Nc	raison
de	S	de
venger	Vvn	venger
,	Fw	,
mon	Ds	mon
sang	Nc	sang
,	Fw	,
de	S	de
vos	Ds	votre
outrages	Nc	outrage
;	Fw	;
Et	Vvc	et
gardez	Vvc	garder
,	Fw	,
de	S	de
me	Pp	je
faire	Vvn	faire
,	Fw	,
éclaircir	Vvn	éclaircir
vos	Ds	votre
ombrages	Nc	ombrage
.	Fs	.
Je	Pp	je
sais	Vvc	savoir
,	Fw	,
qu'	Cs	que
il	Pp	il
ne	Rp	ne
tient	Vvc	tenir
pas	Rg	pas
,	Fw	,
à	S	à
choquer	Vvn	choquer
mon	Ds	mon
crédit	Nc	crédit
Que	Vvc	que
l'	Da	le
espoir	Nc	espoir
de	S	de
l'	Da	le
État	Nc	état
,	Fw	,
ne	Rp	ne
me	Pp	je
soit	Vuc	être
interdit	Ge	interdire
.	Fs	.
Et	Cc	et
que	Cs	que
si	Rg	si
contre	S	contre
moi	Pp	je
,	Fw	,
mon	Ds	mon
père	Nc	père
vous	Pp	vous
écoute	Vvc	écouter
,	Fw	,
Ma	Vvc	ma
ruine	Nc	ruine
,	Fw	,
bientôt	Rg	bientôt
,	Fw	,
éclaircira	Vvc	éclaircir
mon	Ds	mon
doute	Nc	doute
;	Fw	;
Par	Nc	par
le	Da	le
bien	Nc	bien
,	Fw	,
qu'	Cs	que
il	Pp	il
vous	Pp	vous
veut	Vvc	vouloir
,	Fw	,
sur	S	sur
qui	Pr	qui
vous	Pp	vous
vous	Pp	vous
fiez	Vvc	fier
,	Fw	,
Votre	Nc	votre
fils	Nc	fil|fils
,	Fw	,
sur	S	sur
le	Da	le
trône	Nc	trône
,	Fw	,
a	Vuc	avoir
déjà	Rg	déjà
l'	Da	le
un	Pi	un
des	S+Da	de+le|de+les
pieds	Nc	pied
;	Fw	;
Et	Vvc	et
bientôt	Rg	bientôt
,	Fw	,
par	S	par
votre	Ds	votre
aide	Nc	aide
,	Fw	,
il	Pp	il
y	Pp	y
porterait	Vvc	porter
l'	Da	le
autre	Pi	autre
,	Fw	,
Si	Vvc	si
son	Ds	son
ambition	Nc	ambition
répondait	Vvc	répondre
à	S	à
la	Da	le
vôtre	As#Ps	vôtre
;	Fw	;
Mais	Vvc	mais
dans	S	dans
ce	Dd	ce
grand	Ag	grand
projet	Nc	projet
,	Fw	,
à	S	à
quoi	Pr	quoi
vous	Pp	vous
l'	Pp	il
occupez	Vvc	occuper
,	Fw	,
Il	Vvc	il
prévoit	Vvc	prévoir
le	Da	le
péril	Nc	péril
des	S+Da	de+le|de+les
trônes	Nc	trône
usurpés	Ge	usurper
;	Fw	;
À	Nc	à
leurs	Ds	leur
superbes	Ag	superbe
pieds	Nc	pied
,	Fw	,
il	Pp	il
voit	Vvc	voir
des	Dn	un
précipices	Nc	précipice
,	Fw	,
Et	Vvc	et
sait	Vvc	savoir
,	Fw	,
que	Cs	que
des	Dn	un
tyrans	Nc	tyran
,	Fw	,
on	Pp	on
fait	Vvc	faire
des	Dn	un
sacrifices	Nc	sacrifice
;	Fw	;
Il	Vvc	il
sait	Vvc	savoir
,	Fw	,
qu'	Cs	que
il	Pp	il
est	Vuc	être
au	S+Da	à+le
Ciel	Nc	ciel
,	Fw	,
un	Dn	un
Maître	Nc	maître
souverain	Ag	souverain
,	Fw	,
Qui	Vvc	qui
leur	Pp	leur
ôte	Vvc	ôter
,	Fw	,
aisément	Rg	aisément
,	Fw	,
le	Da	le
sceptre	Nc	sceptre
de	S	de
la	Da	le
main	Nc	main
;	Fw	;
Et	Vvc	et
dont	Pr	dont
le	Da	le
foudre	Nc	foudre
est	Vuc	être
fait	Ge	faire
,	Fw	,
pour	S	pour
ce	Dd	ce
genre	Nc	genre
de	S	de
crimes	Nc	crime
,	Fw	,
Pour	Nc	pour
tomber	Vvn	tomber
,	Fw	,
en	S	en
faveur	Nc	faveur
,	Fw	,
des	S+Da	de+le|de+les
Princes	Nc	prince
légitimes	Ag	légitime
,	Fw	,
Le	Vvc	le
crime	Nc	crime
lui	Pp	il
plairait	Vvc	plaire
,	Fw	,
mais	Cc	mais
la	Da	le
punition	Nc	punition
Lui	Nc	lui
fait	Vvc	faire
fermer	Vvn	fermer
l'	Da	le
oreille	Nc	oreille
,	Fw	,
à	S	à
votre	Ds	votre
ambition	Nc	ambition
.	Fs	.
C'	Pd	ce
est	Vuc	être
bien	Rg	bien
vous	Pp	vous
déclarer	Vvn	déclarer
,	Fw	,
et	Cc	et
nous	Pp	nous
jurer	Vvn	jurer
la	Da	le
guerre	Nc	guerre
,	Fw	,
Que	Vvc	que
de	S	de
nous	Pp	nous
menacer	Vvn	menacer
,	Fw	,
du	S+Da	de+le
Ciel	Nc	ciel
et	Cc	et
de	S	de
la	Da	le
terre	Nc	terre
,	Fw	,
Nous	Vvc	nous
verrons	Vvc	voir
,	Fw	,
quel	Dt	quel
effet	Nc	effet
,	Fw	,
nous	Pp	nous
en	Pp	en
succédera	Vvc	succéder
;	Fw	;
Mais	Vvc	mais
,	Fw	,
je	Pp	je
périrai	Vvc	périr
,	Fw	,
traître	Ag	traître
,	Fw	,
ou	Cc	ou
mon	Ds	mon
fils	Nc	fil|fils
régnera	Vvc	régner
.	Fs	.
S'	Pp	se
en	Pp	en
allant	Ga	aller
,	Fw	,
elle	Pp	il
rencontre	Vvc	rencontrer
Mardesane	Vvc	mardesane
et	Cc	et
s'	Pp	se
arrête	Vvc	arrêter
.	Fs	.
Il	Pp	il
faut	Vvc	faillir|falloir
donc	Rg	donc
,	Fw	,
que	Cs	que
ce	Dd	ce
fer	Nc	fer
,	Fw	,
me	Pp	je
devienne	Vvc	devenir
inutile	Ag	inutile
,	Fw	,
Ce	Vvc	ce
coeur	Nc	cœur
,	Fw	,
sans	S	sans
sentiment	Nc	sentiment
,	Fw	,
et	Cc	et
ce	Dd	ce
bras	Nc	bras
immobile	Ag	immobile
.	Fs	.
Quel	Dt	quel
trouble	Nc	trouble
,	Fw	,
Syroës	Vvc	syroës
,	Fw	,
émeut	Vvc	émouvoir
votre	Ds	votre
courroux	Nc	courroux
!	Fs	!
Quoi	Pt	quoi
?	Fs	?
La	Da	le
main	Nc	main
sur	S	sur
l'	Da	le
épée	Nc	épée
!	Fs	!
Et	Cc	et
la	Pp	il
Reine	Vvc	reine
avec	S	avec
vous	Pp	vous
!	Fs	!
Dieux	Nc	dieux
!	Fs	!
J'	Pp	je
y	Pp	y
portais	Vvc	porter
la	Da	le
main	Nc	main
,	Fw	,
mais	Cc	mais
sans	S	sans
aucune	Di	aucun
envie	Nc	envie
,	Fw	,
Que	Vvc	que
...	Fs	...
Que	Vvc	que
de	S	de
,	Fw	,
simplement	Rg	simplement
,	Fw	,
attenter	Vvn	attenter
sur	S	sur
ma	Ds	mon
vie	Nc	vie
.	Fs	.
Soleil	Nc	soleil
,	Fw	,
pour	S	pour
qui	Pr	qui
nos	Ds	notre
coeurs	Nc	cœur
,	Fw	,
n'	Rp	ne
ont	Vuc	avoir
point	Rg	point
d'	S	de
obscurité	Nc	obscurité
,	Fw	,
Juge	Vvc	juger
,	Fw	,
et	Cc	et
témoin	Nc	témoin
commun	Ag	commun
,	Fw	,
tu	Pp	tu
sais	Vvc	savoir
la	Da	le
vérité	Nc	vérité
;	Fw	;
Et	Vvc	et
tu	Pp	tu
la	Pp	il
soutiens	Vvc	soutenir
trop	Rg	trop
,	Fw	,
pour	S	pour
laisser	Vvn	laisser
impunie	Ag	impuni
,	Fw	,
Une	Vvc	une
si	Rg	si
détestable	Ag	détestable
,	Fw	,
et	Cc	et
noire	Ag	noir
calomnie	Nc	calomnie
.	Fs	.
Étais	Vvc	étais
-je	Vvn	-je
le	Da	le
sujet	Nc	sujet
,	Fw	,
de	S	de
votre	Ds	votre
différend	Nc	différend
?	Fs	?
Elle	Pp	il
m'	Pp	je
entretenait	Vvc	entretenir
des	Dn	un
soins	Nc	soin
qu'	Pr	que
elle	Pp	il
vous	Pp	vous
rend	Vvc	rendre
,	Fw	,
;	Fw	;
Qui	Vvc	qui
dessus	S	dessus
votre	Ds	votre
front	Nc	front
,	Fw	,
vont	Vvc	aller
mettre	Vvn	mettre
la	Da	le
Couronne	Nc	couronne
.	Fs	.
Vous	Pp	vous
peut	Vvc	pouvoir
-on	Nc	-on
dépouiller	Vvn	dépouiller
,	Fw	,
du	S+Da	de+le
droit	Nc	droit
qui	Pr	qui
vous	Pp	vous
la	Pp	il
donne	Vvc	donner
?	Fs	?
Je	Pp	je
lui	Pp	il
montrais	Vvc	montrer
ce	Dd	ce
fer	Nc	fer
,	Fw	,
comme	Cs	comme
mon	Ds	mon
défenseur	Nc	défenseur
,	Fw	,
Si	Vvc	si
,	Fw	,
vivant	Ga	vivre
,	Fw	,
j'	Pp	je
en	Pp	en
voyais	Vvc	voir
,	Fw	,
un	Dn	un
autre	Ag	autre
possesseur	Nc	possesseur
.	Fs	.
N'	Rp	ne
étions-nous	Vvc	étions-nous
pas	Rg	pas
d'accord	Nc	d'accord
,	Fw	,
touchant	Ga	toucher
cette	Dd	ce
querelle	Nc	querelle
.	Fs	.
Je	Pp	je
l'	Pp	il
étais	Vuc	être
avec	S	avec
vous	Pp	vous
,	Fw	,
mais	Cc	mais
non	Rg	non
pas	Rg	pas
avec	S	avec
elle	Pp	il
;	Fw	;
Et	Vvc	et
son	Ds	son
ambition	Nc	ambition
,	Fw	,
si	Cs	si
son	Ds	son
crédit	Nc	crédit
n'	Rp	ne
est	Vuc	être
vain	Ag	vain
,	Fw	,
Vous	Nc	vous
mettra	Vvc	mettre
malgré	S	malgré
vous	Pp	vous
le	Da	le
sceptre	Nc	sceptre
dans	S	dans
la	Da	le
main	Nc	main
:	Fw	:
Mais	Cc	mais
,	Fw	,
ne	Rp	ne
souhaitez	Vvc	souhaiter
pas	Rg	pas
,	Fw	,
qu'	Cs	que
elle	Pp	il
vous	Pp	vous
réussisse	Vvc	réussir
;	Fw	;
Elle	Vvc	elle
ne	Rp	ne
vous	Pp	vous
peut	Vvc	pouvoir
rendre	Vvn	rendre
un	Dn	un
plus	Rg	plus
mauvais	Ag	mauvais
office	Nc	office
;	Fw	;
Et	Vvc	et
je	Pp	je
fais	Vvc	faire
plus	Rg	plus
pour	S	pour
vous	Pp	vous
,	Fw	,
de	S	de
vous	Pp	vous
en	S	en
détourner	Vvn	détourner
,	Fw	,
Qu'	Vvc	qu'
elle	Pp	il
de	S	de
vous	Pp	vous
l'	Pp	il
offrir	Vvn	offrir
,	Fw	,
et	Cc	et
de	S	de
vous	Pp	vous
couronner	Vvn	couronner
.	Fs	.
Vous	Pp	vous
inquiétez	Vvc	inquiéter
-vous	Nc	-vous
,	Fw	,
du	S+Da	de+le
Zèle	Nc	zèle
d'	S	de
une	Dn	un
mère	Nc	mère
,	Fw	,
Qui	Vvc	qui
de	S	de
ce	Dd	ce
vain	Ag	vain
espoir	Nc	espoir
,	Fw	,
aime	Vvc	aimer
à	S	à
se	Pp	il
satisfaire	Vvn	satisfaire
.	Fs	.
Laissez	Vvc	laisser
-la	Vvc	-la
,	Fw	,
se	Pp	il
flatter	Vvn	flatter
,	Fw	,
de	S	de
ces	Dd	ce
illusions	Nc	illusion
Se	Vvc	se
plaire	Vvn	plaire
,	Fw	,
à	S	à
se	Pp	il
forger	Vvn	forger
,	Fw	,
de	S	de
belles	Ag	beau
visions	Nc	vision
:	Fw	:
À	Vvc	à
nourrir	Vvn	nourrir
un	Dn	un
beau	Ag	beau
songe	Nc	songe
,	Fw	,
et	Cc	et
l'	Pp	il
en	Pp	en
laissant	Ga	laisser
séduire	Vvn	séduire
,	Fw	,
Moquez	Vvc	moquer
-vous	Nc	-vous
d'	S	de
un	Dn	un
dessein	Nc	dessein
,	Fw	,
qui	Pr	qui
ne	Rp	ne
peut	Vvc	pouvoir
rien	Pi	rien
produire	Vvn	produire
;	Fw	;
Et	Vvc	et
vous	Pp	vous
en	S	en
reposant	Ga	reposer
,	Fw	,
sur	S	sur
ce	Pd	ce
que	Pr	que
je	Pp	je
vous	Pp	vous
dois	Vvc	devoir
,	Fw	,
En	Vvc	en
elle	Pp	il
respectez	Vvc	respecter
,	Fw	,
la	Da	le
passion	Nc	passion
du	S+Da	de+le
Roi	Nc	roi
:	Fw	:
Épargner	Nc	épargner
sa	Ds	son
furie	Nc	furie
,	Fw	,
et	Cc	et
l'	Da	le
ennui	Nc	ennui
qui	Pr	qui
l'	Pp	il
accable	Vvc	accabler
,	Fw	,
Qui	Vvc	qui
de	S	de
tout	Di	tout
autre	Ag	autre
soin	Nc	soin
,	Fw	,
le	Pp	il
rendent	Vvc	rendre
incapable	Ag	incapable
;	Fw	;
Et	Vvc	et
font	Vvc	faire
qu'	Cs	que
en	S	en
son	Ds	son
chagrin	Ag	chagrin
,	Fw	,
tout	Rg	tout
l'	Pp	il
irrite	Vvc	irriter
,	Fw	,
et	Cc	et
lui	Pp	il
nuit	Vvc	nuire
.	Fs	.
J'	Pp	je
ai	Vuc	avoir
pour	S	pour
lui	Pp	il
des	Dn	un
respects	Nc	respect
,	Fw	,
dont	Pr	dont
j'	Pp	je
obtiens	Vvc	obtenir
peu	Rg	peu
de	S	de
fruit	Nc	fruit
,	Fw	,
Mais	Vvc	mais
que	Cs	que
j'	Pp	je
acquière	Vvc	acquérir
,	Fw	,
enfin	Rg	enfin
,	Fw	,
son	Ds	son
amour	Nc	amour
,	Fw	,
ou	Cc	ou
sa	Ds	son
haine	Nc	haine
,	Fw	,
Il	Vvc	il
faut	Vvc	faillir|falloir
laisser	Vvn	laisser
agir	Vvn	agir
le	Da	le
crédit	Nc	crédit
de	S	de
la	Da	le
Reine	Nc	reine|roi
,	Fw	,
Et	Vvc	et
prendre	Vvn	prendre
avis	Nc	avis
du	S+Da	de+le
temps	Nc	temps
,	Fw	,
et	Cc	et
des	S+Da	de+le|de+les
événements	Nc	événement
.	Fs	.
Vous	Pp	vous
gardez	Vvc	garder
vos	Ds	votre
soupçons	Nc	soupçon
,	Fw	,
et	Cc	et
moi	Pp	je
,	Fw	,
mes	Ds	mon
sentiments	Nc	sentiment
.	Fs	.
Et	Cc	et
j'	Pp	je
estime	Vvc	estimer
trop	Rg	trop
peu	Rg	peu
,	Fw	,
l'	Da	le
éclat	Nc	éclat
d'	S	de
une	Dn	un
Couronne	Nc	couronne
,	Fw	,
Pour	Nc	pour
me	Pp	je
gêner	Vvn	gêner
l'	Da	le
esprit	Nc	esprit
,	Fw	,
du	S+Da	de+le
soin	Nc	soin
qu'	Pr	que
elle	Pp	il
vous	Pp	vous
donne	Vvc	donner
,	Fw	,
Ce	Vvc	ce
n'	Rp	ne
est	Vuc	être
qu'	Rg	que
un	Dn	un
joug	Nc	joug
pompeux	Ag	pompeux
,	Fw	,
le	Da	le
repos	Nc	repos
m'	Pp	je
est	Vuc	être
plus	Rg	plus
doux	Ag	doux
;	Fw	;
Vous	Nc	vous
n'	Rp	ne
avez	Vuc	avoir
rien	Pi	rien
à	S	à
faire	Vvn	faire
,	Fw	,
on	Pp	on
travaille	Vvc	travailler
pour	S	pour
vous	Pp	vous
;	Fw	;
Et	Vvc	et
vous	Pp	vous
pouvez	Vvc	pouvoir
juger	Vvn	juger
,	Fw	,
si	Cs	si
l'	Da	le
Empire	Nc	empire
à	S	à
des	Dn	un
charmes	Nc	charme
.	Fs	.
Par	S	par
ceux	Pd	celui
,	Fw	,
que	Cs	que
vous	Pp	vous
trouvez	Vvc	trouver
,	Fw	,
à	S	à
commander	Vvn	commander
nos	Ds	notre
Armes	Nc	arme|armé
,	Fw	,
Ce	Vvc	ce
bâton	Nc	bâton
,	Fw	,
que	Cs	que
le	Pp	il
Roi	Vvc	roi
,	Fw	,
vous	Pp	vous
a	Vuc	avoir
mis	Ge	mettre
à	S	à
la	Da	le
main	Nc	main
,	Fw	,
Déjà	Vvc	déjà
sur	S	sur
les	Da	le
soldats	Nc	soldat
,	Fw	,
vous	Pp	vous
a	Vuc	avoir
fait	Ge	faire
souverain	Ag	souverain
,	Fw	,
Mais	Vvc	mais
qu'	Cs	que
en	S	en
un	Dn	un
peu	Rg	peu
de	S	de
temps	Nc	temps
,	Fw	,
vous	Pp	vous
aura	Vuc	avoir
fait	Ge	faire
connaître	Vvn	connaître
,	Fw	,
Sous	Vvc	sous
son	Ds	son
autorité	Nc	autorité
le	Da	le
plaisir	Nc	plaisir
,	Fw	,
d'	S	de
être	Vun	être
maître	Nc	maître
,	Fw	,
Et	Vvc	et
de	S	de
voir	Vvn	voir
sous	S	sous
ses	Ds	son
voix	Nc	voix
,	Fw	,
tout	Rg	tout
un	Dn	un
État	Nc	état
changé	Ge	changer
,	Fw	,
Il	Vvc	il
vous	Pp	vous
plaira	Vvc	plaire
bien	Rg	bien
mieux	Rg	mieux
,	Fw	,
en	S	en
un	Dn	un
Sceptre	Nc	sceptre
changé	Ge	changer
,	Fw	,
Et	Vvc	et
l'	Da	le
essai	Nc	essai
,	Fw	,
que	Cs	que
par	S	par
lui	Pp	il
,	Fw	,
vous	Pp	vous
ferez	Vvc	faire|ferrer
de	S	de
l'	Da	le
Empire	Nc	empire
,	Fw	,
Vous	Nc	vous
conduira	Vvc	conduire
