Quoi	Pt	quoi
surpasser	Vvn	surpasser
.	Fs	.
Mon	Ds	mon
goût	Nc	goût
,	Fw	,
quoi	Pr	quoi
qu'	Pr	que
il	Pp	il
en	Pp	en
soit	Vuc	être
,	Fw	,
est	Vuc	être
pour	S	pour
la	Da	le
tragédie	Nc	tragédie
;	Fw	;
L'	Vvc	l'
objet	Nc	objet
en	Pp	en
est	Vuc	être
plus	Rg	plus
haut	Ag	haut
,	Fw	,
l'	Da	le
action	Nc	action
plus	Rg	plus
hardie	Ag	hardi
;	Fw	;
Et	Vvc	et
les	Da	le
pensers	Nc	pensers
pompeux	Ag	pompeux
et	Cc	et
pleins	Ag	plein
de	S	de
majesté	Nc	majesté
,	Fw	,
Lui	Nc	lui
donnent	Vvc	donner
plus	Rg	plus
de	S	de
poids	Nc	poids
et	Cc	et
plus	Rg	plus
d'	S	de
autorité	Nc	autorité
.	Fs	.
Elle	Pp	il
l'	Pp	il
emporte	Vvc	emporter
enfin	Rg	enfin
,	Fw	,
par	S	par
les	Da	le
illustres	Ag	illustre
marques	Nc	marque
,	Fw	,
D'	Ag	d'
exemples	Nc	exemple
des	S+Da	de+le|de+les
Héros	Nc	héros
,	Fw	,
d'	S	de
ornement	Nc	ornement
des	S+Da	de+le|de+les
monarques	Nc	monarque
,	Fw	,
De	Vvc	de
règle	Nc	règle
et	Cc	et
de	S	de
mesure	Nc	mesure
à	S	à
leurs	Ds	leur
affections	Nc	affection
,	Fw	,
Par	Nc	par
ses	Ds	son
événements	Nc	événement
,	Fw	,
et	Cc	et
par	S	par
ses	Ds	son
actions	Nc	action
.	Fs	.
Le	Da	le
théâtre	Nc	théâtre
aujourd'hui	Rg	aujourd'hui
,	Fw	,
superbe	Ag	superbe
en	S	en
sa	Ds	son
structure	Nc	structure
,	Fw	,
Admirable	Ag	admirable
en	S	en
son	Ds	son
art	Nc	art
,	Fw	,
et	Cc	et
riche	Nc	riche
en	S	en
sa	Ds	son
peinture	Nc	peinture
,	Fw	,
Promet	Vvc	promettre
pour	S	pour
le	Da	le
sujet	Nc	sujet
,	Fw	,
de	S	de
mêmes	Ag	même
qualités	Nc	qualité
.	Fs	.
Les	Da	le
effets	Nc	effet
en	Pp	en
sont	Vuc	être
beaux	Ag	beau
,	Fw	,
s'	Cs	si
ils	Pp	ils
sont	Vuc	être
bien	Rg	bien
imités	Ge	imiter
.	Fs	.
Vous	Pp	vous
verrez	Vvc	voir
un	Pi	un
des	S+Da	de+le|de+les
miens	Ps	mien
d'	S	de
une	Dn	un
violente	Ag	violent
audace	Nc	audace
,	Fw	,
Au	Vvc	au
mépris	Nc	mépris
de	S	de
la	Da	le
part	Nc	part
qu'	Pr	que
il	Pp	il
s'	Pp	se
acquit	Vvc	acquérir
en	S	en
ma	Ds	mon
grâce	Nc	grâce
,	Fw	,
Au	Vvc	au
mépris	Nc	mépris
de	S	de
ses	Ds	son
jours	Nc	jour
,	Fw	,
au	S+Da	à+le
mépris	Nc	mépris
de	S	de
nos	Ds	notre
dieux	Nc	dieu|dieux
,	Fw	,
Affronter	Vvn	affronter
le	Da	le
pouvoir	Nc	pouvoir
de	S	de
la	Da	le
Terre	Nc	terre
et	Cc	et
des	S+Da	de+le|de+les
cieux	Nc	ciel|cieux
;	Fw	;
Et	Vvc	et
faire	Vvn	faire
à	S	à
mon	Ds	mon
amour	Nc	amour
succéder	Vvn	succéder
tant	Rg	tant
de	S	de
haine	Nc	haine
,	Fw	,
Que	Vvc	que
bien	Rg	bien
loin	Rg	loin
d'	S	de
en	Pp	en
souffrir	Vvn	souffrir
le	Da	le
spectacle	Nc	spectacle
avec	S	avec
peine	Nc	peine
,	Fw	,
Je	Vvc	je
verrai	Vvc	voir
d'	S	de
un	Dn	un
esprit	Nc	esprit
tranquille	Ag	tranquille
et	Cc	et
satisfait	Ge	satisfaire
,	Fw	,
De	Vvc	de
son	Ds	son
zèle	Nc	zèle
obstiné	Ge	obstiner
,	Fw	,
le	Da	le
déplorable	Ag	déplorable
effet	Nc	effet
,	Fw	,
Et	Vvc	et
remourir	Vvn	remourir
ce	Dd	ce
traître	Nc	traître
après	S	après
sa	Ds	son
sépulture	Nc	sépulture
,	Fw	,
Sinon	Nc	sinon
en	S	en
sa	Ds	son
personne	Nc	personne
,	Fw	,
au	S+Da	à+le
moins	Nc	moins
en	S	en
sa	Ds	son
figure	Nc	figure|figuré
.	Fs	.
Pour	S	pour
le	Da	le
bien	Rg	bien
figurer	Vvn	figurer
,	Fw	,
Genest	Nc	genêt
n'	Rp	ne
oubliera	Vvc	oublier
rien	Pi	rien
;	Fw	;
Écoutons	Nc	écoutons
seulement	Rg	seulement
,	Fw	,
et	Cc	et
trêve	Nc	trêve
à	S	à
l'	Da	le
entretien	Nc	entretien
.	Fs	.
Une	Dn	un
voix	Nc	voix
chante	Vvc	chanter
avec	S	avec
un	Dn	un
Luth	Nc	luth
.	Fs	.
LA	Da	le
PIÈCE	Ag	pièce
COMMENCE	Nc	commence
.	Fs	.
Ne	Rp	ne
délibère	Vvc	délibérer
plus	Rg	plus
,	Fw	,
Adrian	Vvc	adrian
,	Fw	,
il	Pp	il
est	Vuc	être
temps	Nc	temps
,	Fw	,
De	Vvc	de
suivre	Vvn	suivre
avec	S	avec
ardeur	Nc	ardeur
ces	Dd	ce
fameux	Ag	fameux
combattants	Nc	combattant
;	Fw	;
Si	Vvc	si
la	Da	le
gloire	Nc	gloire
te	Pp	tu
plaît	Vvc	plaire
,	Fw	,
l'	Da	le
occasion	Nc	occasion
est	Vuc	être
belle	Ag	beau
;	Fw	;
La	Vvc	la
querelle	Nc	querelle
du	S+Da	de+le
ciel	Nc	ciel
,	Fw	,
à	S	à
ce	Dd	ce
combat	Nc	combat
t'	Pp	tu
appelle	Vvc	appeler
;	Fw	;
La	Vvc	la
torture	Nc	torture
,	Fw	,
le	Da	le
fer	Nc	fer
,	Fw	,
et	Cc	et
la	Da	le
flamme	Nc	flamme
t'	Pp	tu
attend	Vvc	attendre
;	Fw	;
Offre	Vvc	offrir
à	S	à
leurs	Ds	leur
cruautés	Nc	cruauté
,	Fw	,
un	Dn	un
coeur	Nc	cœur
ferme	Ag	ferme
et	Cc	et
constant	Ag	constant
;	Fw	;
Laisse	Vvc	laisser
à	S	à
de	Dn	un
lâches	Ag	lâche
coeurs	Nc	cœur
verser	Vvn	verser
d'	Dn	un
indignes	Ag	indigne
larmes	Nc	larme
,	Fw	,
Tendre	Nc	tendre
aux	S+Da	à+les
tyrans	Nc	tyran
les	Da	le
mains	Nc	main
,	Fw	,
et	Cc	et
mettre	Vvn	mettre
bas	Rg	bas
les	Da	le
armes	Nc	arme|armé
;	Fw	;
Toi	Vvc	taire
,	Fw	,
tends	Vvc	tendre
la	Da	le
gorge	Nc	gorge
au	S+Da	à+le
fer	Nc	fer
,	Fw	,
vois	Vvc	voir
-en	Vvc	-en
couler	Vvn	couler
ton	Ds	ton
sang	Nc	sang
,	Fw	,
Et	Vvc	et
meurs	Vvc	mourir
,	Fw	,
sans	S	sans
t'	Pp	tu
ébranler	Vvn	ébranler
,	Fw	,
debout	Vvc	débouillir
,	Fw	,
et	Cc	et
dans	S	dans
ton	Ds	ton
rang	Nc	rang
.	Fs	.
La	Da	le
faveur	Nc	faveur
de	S	de
césar	Nc	césar
,	Fw	,
qu'	Cs	que
un	Dn	un
peuple	Nc	peuple
entier	Ag	entier
t'	Pp	tu
envie	Vvc	ennuyer|envier
,	Fw	,
Ne	Vvc	ne
peut	Vvc	pouvoir
durer	Vvn	durer
,	Fw	,
au	S+Da	à+le
plus	Rg	plus
,	Fw	,
que	Cs	que
le	Da	le
cours	Nc	cour|cours|court
de	S	de
sa	Ds	son
vie	Nc	vie
;	Fw	;
De	Vvc	de
celle	Pd	celui
de	S	de
ton	Ds	ton
dieu	Nc	dieu
,	Fw	,
non	Rg	non
plus	Rg	plus
que	Cs	que
de	S	de
ses	Ds	son
jours	Nc	jour
,	Fw	,
Jamais	Vvc	jamais
nul	Di	nul
accident	Nc	accident
ne	Rp	ne
bornera	Vvc	borner
le	Da	le
cours	Nc	cour|cours|court
:	Fw	:
Déjà	Vvc	déjà
de	S	de
ce	Dd	ce
tyran	Nc	tyran
,	Fw	,
la	Da	le
puissance	Nc	puissance
irritée	Ge	irriter
,	Fw	,
Si	Vvc	si
ton	Ds	ton
zèle	Nc	zèle
te	Pp	tu
dure	Vvc	durer
,	Fw	,
a	Vuc	avoir
ta	Ds	ton
perte	Nc	perte
arrêtée	Ge	arrêter
;	Fw	;
Il	Vvc	il
serait	Vuc	être
,	Fw	,
Adrian	Vvc	adrian
,	Fw	,
honteux	Ag	honteux
d'	S	de
être	Vun	être
vaincu	Ge	vaincre
;	Fw	;
Si	Vvc	si
ton	Ds	ton
dieu	Nc	dieu
veut	Vvc	vouloir
ta	Ds	ton
mort	Nc	mort
,	Fw	,
c'	Pd	ce
est	Vuc	être
déjà	Rg	déjà
trop	Rg	trop
vécu	Ge	vivre
.	Fs	.
J'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
,	Fw	,
ciel	Nc	ciel
,	Fw	,
tu	Pp	tu
le	Pp	il
sais	Vvc	savoir
,	Fw	,
par	S	par
le	Da	le
nombre	Nc	nombre
des	S+Da	de+le|de+les
âmes	Nc	âme
Que	Vvc	que
j'	Pp	je
osai	Vvc	oser
t'	Pp	tu
envoyer	Vvn	envoyer
,	Fw	,
par	S	par
des	Dn	un
chemins	Nc	chemin
de	S	de
flammes	Nc	flamme
,	Fw	,
Dessus	Vvc	dessus
les	Da	le
grils	Nc	gril
ardents	Ag	ardent
,	Fw	,
et	Cc	et
dedans	Rg	dedans
les	Da	le
taureaux	Nc	taureau
,	Fw	,
Chanter	Vvn	chanter
les	Da	le
condamnés	Nc	condamné
,	Fw	,
et	Cc	et
trembler	Vvn	trembler
les	Da	le
bourreaux	Nc	bourreau
;	Fw	;
J'	Vvc	j'
ai	Vuc	avoir
vu	Ge	voir
tendre	Ag	tendre
aux	S+Da	à+les
enfants	Nc	enfant
une	Dn	un
gorge	Nc	gorge
assurée	Ge	assurer
,	Fw	,
À	Nc	à
la	Da	le
sanglante	Ag	sanglant
mort	Nc	mort
qu'	Pr	que
ils	Pp	ils
voyaient	Vvc	voir
préparée	Ge	préparer
;	Fw	;
Et	Vvc	et
tomber	Vvn	tomber
sous	S	sous
le	Da	le
coup	Nc	coup
d'	S	de
un	Dn	un
trépas	Nc	trépas
glorieux	Ag	glorieux
,	Fw	,
Ces	Vvc	ces
fruits	Nc	fruit
à	S	à
peine	Nc	peine
éclos	Vvc	éclore
,	Fw	,
déjà	Rg	déjà
mûrs	Ag	mûr
pour	S	pour
les	Da	le
cieux	Nc	ciel|cieux
.	Fs	.
J'	Pp	je
en	Pp	en
ai	Vuc	avoir
vu	Ge	voir
,	Fw	,
que	Cs	que
le	Da	le
temps	Nc	temps
prescrit	Vvc	prescrire
par	S	par
la	Da	le
nature	Nc	nature
,	Fw	,
Était	Nc	était
prêt	Ag	prêt
de	S	de
pousser	Vvn	pousser
dedans	Rg	dedans
la	Da	le
sépulture	Nc	sépulture
,	Fw	,
Dessus	Vvc	dessus
les	Da	le
échafauds	Nc	échafaud
presser	Vvn	presser
ce	Dd	ce
dernier	Ag	dernier
pas	Nc	pas
,	Fw	,
Et	Vvc	et
d'	S	de
un	Dn	un
jeune	Ag	jeune
courage	Nc	courage
,	Fw	,
affronter	Vvn	affronter
le	Da	le
trépas	Nc	trépas
;	Fw	;
J'	Vvc	j'
ai	Vuc	avoir
vu	Ge	voir
mille	Nc	mille
beautés	Nc	beauté
,	Fw	,
en	S	en
la	Da	le
fleur	Nc	fleur
de	S	de
leur	Ds	leur
âge	Nc	âge
,	Fw	,
À	Nc	à
qui	Pr	qui
jusqu'	S	jusque
aux	S+Da	à+les
tyrans	Nc	tyran
,	Fw	,
chacun	Pi	chacun
rendait	Vvc	rendre
hommage	Nc	hommage
,	Fw	,
Voir	Vvc	voir
avecque	Ag	avecque
plaisir	Nc	plaisir
,	Fw	,
meurtris	Vvc	meurtrir
et	Cc	et
déchirés	Ge	déchirer
,	Fw	,
Leurs	Ag	leur
membres	Nc	membre
précieux	Ag	précieux
,	Fw	,
de	S	de
tant	Rg	tant
d'	S	de
yeux	Nc	œil
adorés	Ge	adorer
;	Fw	;
Vous	Nc	vous
l'	Pp	il
avez	Vuc	avoir
vu	Ge	voir
,	Fw	,
mes	Ds	mon
yeux	Nc	œil
,	Fw	,
et	Cc	et
vous	Pp	vous
craindriez	Vvc	craindre
sans	S	sans
honte	Nc	honte
,	Fw	,
Ce	Vvc	ce
que	Cs	que
tout	Di	tout
sexe	Nc	sexe
brave	Ag	brave
,	Fw	,
et	Cc	et
que	Cs	que
tout	Di	tout
âge	Nc	âge
affronte	Vvc	affronter
!	Fs	!
Cette	Dd	ce
vigueur	Nc	vigueur
,	Fw	,
peut-être	Rg	peut-être
,	Fw	,
est	Vuc	être
un	Dn	un
effort	Nc	effort
humain	Ag	humain
?	Fs	?
Non	Rg	non
,	Fw	,
non	Rg	non
,	Fw	,
cette	Dd	ce
vertu	Nc	vertu
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
vient	Vvc	venir
de	S	de
ta	Ds	ton
main	Nc	main
,	Fw	,
L'	Vvc	l'
âme	Nc	âme
la	Pp	il
puise	Vvc	puiser
au	S+Da	à+le
lieu	Nc	lieu
de	S	de
sa	Ds	son
propre	Ag	propre
origine	Nc	origine
,	Fw	,
Et	Vvc	et
comme	S	comme
les	Da	le
effets	Nc	effet
,	Fw	,
la	Da	le
source	Nc	source
en	Pp	en
est	Vuc	être
divine	Ag	divin
.	Fs	.
C'	Pd	ce
est	Vuc	être
du	S+Da	de+le
ciel	Nc	ciel
que	Pr	que
me	Pp	je
vient	Vvc	venir
cette	Dd	ce
noble	Ag	noble
vigueur	Nc	vigueur
,	Fw	,
Qui	Vvc	qui
me	Pp	je
fait	Vvc	faire
des	Dn	un
tourments	Nc	tourment
mépriser	Vvn	mépriser
la	Da	le
rigueur	Nc	rigueur
,	Fw	,
Qui	Vvc	qui
me	Pp	je
fait	Vvc	faire
défier	Vvn	défier
les	Da	le
puissances	Nc	puissance
humaines	Ag	humain
,	Fw	,
Et	Vvc	et
qui	Pr	qui
fait	Vvc	faire
que	Cs	que
mon	Ds	mon
sang	Nc	sang
se	Pp	il
déplaît	Vvc	déplaire
dans	S	dans
mes	Ds	mon
veines	Nc	veine
;	Fw	;
Qu'	Vvc	qu'
il	Pp	il
brûle	Vvc	brûler
d'	S	de
arroser	Vvn	arroser
cet	Dd	ce
arbre	Nc	arbre
précieux	Ag	précieux
,	Fw	,
Où	Vvc	où
pend	Vvc	pendre
pour	S	pour
nous	Pp	nous
le	Da	le
fruit	Nc	fruit
le	Da	le
plus	Rg	plus
chéri	Ge	chérir
des	S+Da	de+le|de+les
cieux	Nc	ciel|cieux
.	Fs	.
J'	Pp	je
ai	Vuc	avoir
peine	Nc	peine
à	S	à
concevoir	Vvn	concevoir
ce	Dd	ce
changement	Nc	changement
extrême	Ag	extrême
,	Fw	,
Et	Vvc	et
sens	Nc	sens
que	Rg	que
différent	Ag	différent
,	Fw	,
et	Cc	et
plus	Rg	plus
fort	Rg	fort
que	Cs	que
moi-même	Pp	lui-même
,	Fw	,
J'	Vvc	j'
ignore	Vvc	ignorer
toute	Di	tout
crainte	Nc	crainte
;	Fw	;
et	Cc	et
puis	Vvc	pouvoir
voir	Vvn	voir
sans	S	sans
terreur	Nc	terreur
,	Fw	,
La	Vvc	la
face	Nc	face
de	S	de
la	Da	le
mort	Nc	mort
,	Fw	,
en	S	en
sa	Ds	son
plus	Rg	plus
noire	Ag	noir
horreur	Nc	horreur
.	Fs	.
Un	Dn	un
seul	Ag	seul
bien	Nc	bien
que	Pr	que
je	Pp	je
perds	Vvc	perdre
,	Fw	,
la	Da	le
seule	Ag	seul
Natalie	Nc	natalie
,	Fw	,
Qu'	Vvc	qu'
à	S	à
mon	Ds	mon
sort	Nc	sort
un	Dn	un
saint	Ag	saint
joug	Nc	joug
heureusement	Rg	heureusement
allie	Nc	allié
,	Fw	,
Et	Vvc	et
qui	Pr	qui
de	S	de
ce	Dd	ce
saint	Ag	saint
zèle	Nc	zèle
ignore	Vvc	ignorer
le	Da	le
secret	Nc	secret
.	Fs	.
Parmi	S	parmi
tant	Rg	tant
de	S	de
ferveur	Nc	ferveur
,	Fw	,
mêle	Vvc	mêler
quelque	Di	quelque
regret	Nc	regret
.	Fs	.
Mais	Cc	mais
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
peu	Rg	peu
de	S	de
coeur	Nc	cœur
,	Fw	,
si	Cs	si
ce	Dd	ce
penser	Nc	penser
me	Pp	je
touche	Vvc	toucher
!	Fs	!
Si	Rg	si
proche	Ag	proche
de	S	de
la	Da	le
mort	Nc	mort
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
l'	Da	le
amour	Nc	amour
en	S	en
la	Da	le
bouche	Nc	bouche
!	Fs	!
Je	Pp	je
crois	Vvc	croire|croître
,	Fw	,
cher	Ag	cher
Adrian	Vvc	adrian
,	Fw	,
que	Cs	que
vous	Pp	vous
n'	Rp	ne
ignorez	Vvc	ignorer
pas	Rg	pas
Quel	Vvc	quel
important	Ag	important
sujet	Nc	sujet
adresse	Vvc	adresser
ici	Rg	ici
mes	Ds	mon
pas	Nc	pas
;	Fw	;
Toute	Vvc	toute
la	Da	le
Cour	Nc	cour
en	S	en
trouble	Nc	trouble
,	Fw	,
attend	Vvc	attendre
d'	S	de
être	Vun	être
éclaircie	Ge	éclaircir
,	Fw	,
D'	Nc	d'
un	Dn	un
bruit	Nc	bruit
,	Fw	,
dont	Pr	dont
au	S+Da	à+le
palais	Nc	palais
votre	Ds	votre
estime	Nc	estime
est	Vuc	être
noircie	Ge	noircir
,	Fw	,
Et	Vvc	et
que	Cs	que
vous	Pp	vous
confirmez	Vvc	confirmer
par	S	par
votre	Ds	votre
éloignement	Nc	éloignement
;	Fw	;
Chacun	Ag	chacun
,	Fw	,
selon	S	selon
son	Ds	son
sens	Nc	sens
,	Fw	,
en	Pp	en
croit	Vvc	croire|croître
diversement	Rg	diversement
;	Fw	;
Les	Vvc	les
uns	Pi	un
,	Fw	,
que	Cs	que
pour	S	pour
railler	Vvn	railler
,	Fw	,
cette	Dd	ce
erreur	Nc	erreur
s'	Pp	se
est	Vuc	être
semée	Ge	semer
,	Fw	,
D'	Nc	d'
autres	Ag	autre
,	Fw	,
que	Cs	que
quelque	Di	quelque
sort	Nc	sort
à	S	à
votre	Ds	votre
âme	Nc	âme
charmée	Ge	charmer
,	Fw	,
D'	Nc	d'
autres	Ag	autre
,	Fw	,
que	Cs	que
le	Da	le
venin	Nc	venin
de	S	de
ces	Dd	ce
lieux	Nc	lieu
infectés	Ge	infecter
,	Fw	,
Contre	Vvc	contrer
votre	Ds	votre
raison	Nc	raison
,	Fw	,
a	Vuc	avoir
vos	Ds	votre
sens	Nc	sens
révoltés	Ge	révolter
;	Fw	;
Mais	Vvc	mais
,	Fw	,
surtout	Rg	surtout
,	Fw	,
de	S	de
César	Nc	césar
la	Da	le
croyance	Nc	croyance
incertaine	Ag	incertain
,	Fw	,
Ne	Vvc	ne
peut	Vvc	pouvoir
ou	Cc	ou
s'	Pp	se
arrêter	Vvn	arrêter
,	Fw	,
ni	Cc	ni
s'	Pp	se
asseoir	Vvn	asseoir
,	Fw	,
qu'	Cs	que
avec	S	avec
peine	Nc	peine
.	Fs	.
À	Nc	à
qui	Pr	qui
dois	Vvc	devoir
-je	Vvn	-je
bien	Rg	bien
de	S	de
m'	Pp	je
avoir	Vun	avoir
dénoncé	Ge	dénoncer
?	Fs	?
Nous	Pp	nous
étions	Vuc	être
au	S+Da	à+le
palais	Nc	palais
,	Fw	,
où	Pr	où
César	Nc	césar
empressé	Ge	empresser
De	Vvc	de
grand	Ag	grand
nombre	Nc	nombre
des	S+Da	de+le|de+les
siens	Ps	sien
,	Fw	,
qui	Pr	qui
lui	Pp	il
vantaient	Vvc	vanter
leur	Ds	leur
zèle	Nc	zèle
,	Fw	,
À	Nc	à
mourir	Vvn	mourir
pour	S	pour
les	Da	le
Dieux	Nc	dieux
,	Fw	,
ou	Cc	ou
venger	Vvn	venger
leur	Ds	leur
querelle	Nc	querelle
.	Fs	.
Adrian	Vvc	adrian
,	Fw	,
(	Fw	(
a-t-il	V	avoir
dit	Vvc	dire
)	Fw	)
d'	S	de
un	Dn	un
visage	Nc	visage
remis	Vvc	remettre
,	Fw	,
Adrian	Vvc	adrian
leur	Pp	leur
suffit	Vvc	suffire
contre	S	contre
tant	Rg	tant
d'	S	de
ennemis	Nc	ennemi
,	Fw	,
Seul	Nc	seul
,	Fw	,
contre	S	contre
ces	Dd	ce
mutins	Nc	mutin
,	Fw	,
il	Pp	il
soutiendra	Vvc	soutenir
leur	Ds	leur
cause	Nc	cause
;	Fw	;
Sur	Nc	sur
son	Ds	son
unique	Ag	unique
soin	Nc	soin
,	Fw	,
mon	Ds	mon
esprit	Nc	esprit
se	Pp	il
repose	Vvc	reposer
;	Fw	;
Voyant	Ga	voir
le	Da	le
peu	Rg	peu
d'	S	de
effet	Nc	effet
que	Cs	que
la	Da	le
rigueur	Nc	rigueur
produit	Ge	produire
,	Fw	,
Laissons	Vvc	laisser
éprouver	Vvn	éprouver
l'	Da	le
art	Nc	art
,	Fw	,
où	Pr	où
la	Da	le
force	Nc	force|forcé
est	Vuc	être
sans	S	sans
fruit	Nc	fruit
;	Fw	;
Leur	Vvc	leur
obstination	Nc	obstination
s'	Pp	se
irrite	Vvc	irriter
par	S	par
les	Da	le
peines	Nc	peine
;	Fw	;
Il	Vvc	il
est	Vuc	être
plus	Rg	plus
de	S	de
captifs	Nc	captif
,	Fw	,
que	Cs	que
de	S	de
fers	Nc	fer|fers
et	Cc	et
de	S	de
chaînes	Nc	chaîne
:	Fw	:
Les	Da	le
cachots	Nc	cachot
trop	Rg	trop
étroits	Ag	étroit
,	Fw	,
ne	Rp	ne
les	Pp	ils
contiennent	Vvc	contenir
pas	Rg	pas
;	Fw	;
Les	Vvc	les
haches	Nc	hache
et	Cc	et
les	Da	le
croix	Nc	croix
,	Fw	,
sont	Vuc	être
lasses	Ag	las
de	S	de
trépas	Nc	trépas
;	Fw	;
La	Vvc	la
mort	Nc	mort
;	Fw	;
pour	S	pour
la	Da	le
trop	Rg	trop
voir	Vvn	voir
,	Fw	,
ne	Rp	ne
leur	Pp	leur
est	Vuc	être
plus	Rg	plus
sauvage	Ag	sauvage
;	Fw	;
Pour	Nc	pour
trop	Rg	trop
agir	Vvn	agir
contre	S	contre
eux	Pp	eux
,	Fw	,
le	Da	le
feu	Nc	feu
perd	Vvc	perdre
son	Ds	son
usage	Nc	usage
;	Fw	;
En	Vvc	en
ces	Dd	ce
horreurs	Nc	horreur
enfin	Rg	enfin
,	Fw	,
le	Da	le
coeur	Nc	cœur
manque	Vvc	manquer
aux	S+Da	à+les
bourreaux	Nc	bourreau
,	Fw	,
Aux	Vvc	aux
juges	Vvc	juger
la	Da	le
constance	Nc	constance
,	Fw	,
aux	S+Da	à+les
mourants	Ga	mourir
les	Da	le
travaux	Nc	travail|travaux
;	Fw	;
La	Vvc	la
douceur	Nc	douceur
est	Vuc	être
souvent	Rg	souvent
une	Dn	un
invincible	Ag	invincible
amorce	Nc	amorce
,	Fw	,
À	Nc	à
ces	Dd	ce
coeurs	Nc	cœur
obstinés	Ge	obstiner
,	Fw	,
qu'	Cs	que
on	Pp	on
aigrit	Vvc	aigrir
par	S	par
la	Da	le
force	Nc	force|forcé
.	Fs	.
Titian	Vvc	titian
,	Fw	,
à	S	à
ces	Dd	ce
mots	Nc	mot|mots
,	Fw	,
dans	S	dans
la	Da	le
salle	Nc	salle|salé
rendu	Ge	rendre
,	Fw	,
Ha	Vvc	ha
!	Fs	!
S'	Pp	se
est-il	Ag	est-il
écrié	Ge	écrier
,	Fw	,
César	Nc	césar
,	Fw	,
tout	Pi	tout
est	Vuc	être
perdu	Ge	perdre
;	Fw	;
La	Vvc	la
frayeur	Nc	frayeur
à	S	à
ce	Dd	ce
cri	Nc	cri
,	Fw	,
par	S	par
nos	Ds	notre
veines	Nc	veine
s'	Pp	se
étale	Vvc	étaler
,	Fw	,
Un	Vvc	un
murmure	Nc	murmure
confus	Ag	confus
se	Pp	il
répand	Vvc	répandre
dans	S	dans
la	Da	le
salle	Nc	salle|salé
.	Fs	.
Qu'	Pt	que
est	Vuc	être
-ce	Vvc	-ce
,	Fw	,
a	Vuc	avoir
dit	Ge	dire
l'	Da	le
Empereur	Nc	empereur
,	Fw	,
interdit	Vvc	interdire
et	Cc	et
troublé	Ge	troubler
,	Fw	,
Le	Vvc	le
ciel	Nc	ciel
s'	Cs	si
est-il	Ag	est-il
ouvert	Ge	ouvrir
?	Fs	?
Le	Da	le
monde	Nc	monde
a-t-il	V	avoir
tremblé	Ge	trembler
?	Fs	?
Quelque	Di	quelque
foudre	Nc	foudre
lancé	Ge	lancer
menace-t-il	Vvc	menace-t-il
ma	Ds	mon
tête	Nc	tête
?	Fs	?
Rome	Vvc	rome
,	Fw	,
d'	S	de
un	Dn	un
étranger	Nc	étranger
,	Fw	,
est-elle	Ag	est-elle
la	Da	le
conquête	Nc	conquête
?	Fs	?
Ou	Cc	ou
quelque	Di	quelque
embrasement	Nc	embrasement
consomme-t-il	Vvc	consomme-t-il
ces	Dd	ce
lieux	Nc	lieu
?	Fs	?
Adrian	Vvc	adrian
,	Fw	,
a-t-il	V	avoir
dit	Vvc	dire
,	Fw	,
pour	S	pour
Christ	Vvc	christ
renonce	Nc	renonce
aux	S+Da	à+les
dieux	Nc	dieu|dieux
.	Fs	.
Oui	Rg	oui
sans	S	sans
doute	Nc	doute
,	Fw	,
et	Cc	et
de	S	de
plus	Rg	plus
,	Fw	,
à	S	à
César	Nc	césar
,	Fw	,
à	S	à
moi-même	Pp	lui-même
,	Fw	,
Et	Vvc	et
soumets	Vvc	soumettre
tout	Pi	tout
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
à	S	à
ton	Ds	ton
pouvoir	Nc	pouvoir
suprême	Ag	suprême
.	Fs	.
Maximin	Nc	maximin
à	S	à
ce	Dd	ce
mot	Nc	mot
,	Fw	,
furieux	Ag	furieux
,	Fw	,
l'	Da	le
oeil	Nc	œil
ardent	Ag	ardent
,	Fw	,
(	Fw	(
Signes	Vvc	signer
avant-coureurs	Ag	avant-coureur
d'	S	de
un	Dn	un
funeste	Ag	funeste
accident	Nc	accident
)	Fw	)
Pâlit	Vvc	pâlit
,	Fw	,
frappe	Nc	frappe|frappé
du	S+Da	de+le
pied	Nc	pied
,	Fw	,
frémit	Vvc	frémir
,	Fw	,
déteste	Vvc	détester
,	Fw	,
tonne	Nc	tonne
,	Fw	,
Comme	Vvc	comme
désespéré	Nc	désespéré
,	Fw	,
ne	Rp	ne
connaît	Vvc	connaître
plus	Rg	plus
personne	Pi	personne
,	Fw	,
Et	Vvc	et
nous	Pp	nous
fait	Vvc	faire
voir	Vvn	voir
au	S+Da	à+le
vif	Ag	vif
le	Da	le
geste	Nc	geste
et	Cc	et
la	Da	le
couleur	Nc	couleur
D'	Nc	d'
un	Dn	un
homme	Nc	homme
transporté	Ge	transporter
d'	S	de
amour	Nc	amour
et	Cc	et
de	S	de
douleur	Nc	douleur
.	Fs	.
Et	Cc	et
j'	Pp	je
entends	Vvc	entendre
,	Fw	,
Adrian	Vvc	adrian
,	Fw	,
vanter	Vvn	vanter
encor	Nc	encor
son	Ds	son
crime	Nc	crime
?	Fs	?
De	S	de
César	Nc	césar
,	Fw	,
de	S	de
son	Ds	son
maître	Nc	maître
,	Fw	,
il	Pp	il
