Ah	I	ah
de	S	de
l'	Da	le
argent	Nc	argent
?	Fs	?
Il	Pp	il
ne	Rp	ne
faut	Vvc	faillir|falloir
point	Rg	point
tant	Rg	tant
rire	Vvn	rire
,	Fw	,
Je	Vvc	je
veux	Vvc	vouloir
être	Vun	être
payé	Ge	payer
.	Fs	.
Ma	Ds	mon
foi	Nc	foi
,	Fw	,
c'	Pd	ce
est	Vuc	être
pour	S	pour
ton	Ds	ton
nez	Nc	nez
,	Fw	,
Après	Vvc	après
tant	Rg	tant
de	S	de
conseils	Nc	conseil
insolemment	Rg	insolemment
donnés	Ge	donner
,	Fw	,
Et	Vvc	et
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
tous	Pi	tout
soufferts	Ge	souffrir
sans	S	sans
me	Pp	je
mettre	Vvn	mettre
en	S	en
colère	Nc	colère
,	Fw	,
Je	Vvc	je
t'	Pp	tu
apprends	Vvc	apprendre
que	Cs	que
c'	Pd	ce
est	Vuc	être
toi	Pp	tu
qui	Pr	qui
me	Pp	je
dois	Vvc	devoir
du	S+Da	de+le
salaire	Nc	salaire
.	Fs	.
Je	Pp	je
suis	Vuc	être
embarrassé	Ge	embarrasser
si	Rg	si
jamais	Rg	jamais
je	Pp	je
le	Pp	il
fus	Vuc	être
;	Fw	;
Servir	Nc	servir
sans	S	sans
rien	Pi	rien
gagner	Vvn	gagner
,	Fw	,
ou	Cc	ou
ne	Rp	ne
conseiller	Vvn	conseiller
plus	Rg	plus
.	Fs	.
Si	Cs	si
ton	Ds	ton
maudit	Nc	maudit
esprit	Nc	esprit
à	S	à
conseiller	Nc	conseiller
te	Pp	tu
porte	Vvc	porter
,	Fw	,
Tu	Vvc	tu
n'	Rp	ne
auras	Vuc	avoir
rien	Pi	rien
de	S	de
moi	Pp	je
de	S	de
ta	Ds	ton
vie	Nc	vie
.	Fs	.
Il	Pp	il
n'	Rp	ne
importe	Vvc	importer
,	Fw	,
À	Nc	à
donner	Vvn	donner
des	Dn	un
conseils	Nc	conseil
je	Pp	je
vais	Vvc	aller
bien	Rg	bien
m'	Pp	je
égayer	Vvn	égayer
.	Fs	.
Et	Cc	et
moi	Pp	je
pareillement	Rg	pareillement
,	Fw	,
à	S	à
ne	Rp	ne
te	Pp	tu
point	Rg	point
payer	Vvn	payer
.	Fs	.
Mes	Ds	mon
gages	Nc	gage|gages
,	Fw	,
adieu	Nc	adieu
donc	Rg	donc
;	Fw	;
et	Cc	et
vous	Pp	vous
notre	Ds	notre
Prudence	Nc	prudence
,	Fw	,
Fournissez	Vvc	fournir
-moi	Vvc	-moi
toujours	Rg	toujours
conseils	Nc	conseil
en	S	en
abondance	Nc	abondance
,	Fw	,
Car	Nc	car
j'	Pp	je
en	Pp	en
ai	Vuc	avoir
grand	Ag	grand
besoin	Nc	besoin
,	Fw	,
vu	Ge	voir
le	Da	le
Maître	Nc	maître
que	Pr	que
j'	Pp	je
ai	Vuc	avoir
.	Fs	.
Ça	Nc	ça
,	Fw	,
je	Pp	je
vais	Vvc	aller
commencer	Vvn	commencer
.	Fs	.
Non	Rg	non
,	Fw	,
non	Rg	non
,	Fw	,
tout	Pi	tout
est	Vuc	être
changé	Ge	changer
,	Fw	,
Ne	Vvc	ne
me	Pp	je
conseille	Vvc	conseiller
point	Rg	point
,	Fw	,
et	Cc	et
prends	Vvc	prendre
double	Ag	double
salaire	Nc	salaire
.	Fs	.
Je	Pp	je
me	Pp	je
tiens	Vvc	tenir
au	S+Da	à+le
marché	Nc	marché
que	Pr	que
nous	Pp	nous
venons	Vvc	venir
de	S	de
faire	Vvn	faire
;	Fw	;
J'	Vvc	j'
aime	Vvc	aimer
mieux	Rg	mieux
conseiller	Vvn	conseiller
.	Fs	.
Prends	Vvc	prendre
ce	Pd	ce
que	Pr	que
tu	Pp	tu
voudras	Vvc	vouloir
,	Fw	,
Tout	Vvc	tout
mon	Ds	mon
bien	Nc	bien
si	Cs	si
tu	Pp	tu
veux	Vvc	vouloir
,	Fw	,
et	Cc	et
ne	Rp	ne
conseille	Vvc	conseiller
pas	Rg	pas
.	Fs	.
Aux	S+Da	à+les
dépens	Nc	dépens
de	S	de
mon	Ds	mon
bien	Nc	bien
,	Fw	,
aux	S+Da	à+les
dépens	Nc	dépens
de	S	de
mes	Ds	mon
gages	Nc	gage|gages
,	Fw	,
Si	Vvc	si
je	Pp	je
puis	Vvc	pouvoir
,	Fw	,
moi	Pp	je
pécheur	Nc	pécheur|pêcheur
,	Fw	,
par	S	par
conseils	Nc	conseil
bons	Ag	bon
et	Cc	et
sages	Ag	sage
,	Fw	,
En	Vvc	en
vous	Pp	vous
jusques	Nc	jusques
ici	Rg	ici
qui	Pr	qui
n'	Rp	ne
avez	Vuc	avoir
valu	Ge	valoir
rien	Pi	rien
,	Fw	,
Faire	Vvc	faire
voir	Vvn	voir
seulement	Rg	seulement
l'	Da	le
apparence	Nc	apparence
du	S+Da	de+le
bien	Nc	bien
,	Fw	,
Je	Vvc	je
serai	Vuc	être
trop	Rg	trop
heureux	Ag	heureux
,	Fw	,
et	Cc	et
jamais	Rg	jamais
aucun	Di	aucun
Maître	Nc	maître
Ne	Vvc	ne
se	Pp	il
verra	Vvc	voir
servi	Ge	servir
,	Fw	,
comme	Cs	comme
vous	Pp	vous
l'	Pp	il
allez	Vvc	aller
être	Vun	être
.	Fs	.
Il	Pp	il
y	Pp	y
va	Vvc	aller
trop	Rg	trop
du	S+Da	de+le
mien	Ps	mien
dans	S	dans
ces	Dd	ce
conditions	Nc	condition
.	Fs	.
Et	Cc	et
du	S+Da	de+le
moins	Nc	moins
laissez	Vvc	laisser
-moi	Vvc	-moi
faire	Vvn	faire
des	Dn	un
questions	Nc	question
.	Fs	.
Bien	Rg	bien
,	Fw	,
fais	Vvc	faire
-en	Vvn	-en
tout	Di	tout
ton	Ds	ton
saoul	Ag	saoul|saoûl
.	Fs	.
Mon	Ds	mon
Maître	Nc	maître
,	Fw	,
à	S	à
la	Da	le
pareille	Nc	pareil|pareille
;	Fw	;
Ne	Vvc	ne
me	Pp	je
payez	Vvc	payer
jamais	Rg	jamais
,	Fw	,
et	Cc	et
que	Cs	que
je	Pp	je
vous	Pp	vous
conseille	Vvc	conseiller
,	Fw	,
Vous	Nc	vous
aimez	Vvc	aimer
bien	Rg	bien
l'	Da	le
argent	Nc	argent
.	Fs	.
Ah	I	ah
!	Fs	!
C'	Pd	ce
est	Vuc	être
trop	Rg	trop
raisonner	Vvn	raisonner
.	Fs	.
Bien	Rg	bien
,	Fw	,
bien	Rg	bien
,	Fw	,
n'	Rp	ne
en	Pp	en
parlons	Vvc	parler
plus	Rg	plus
,	Fw	,
je	Pp	je
vais	Vvc	aller
questionner	Vvn	questionner
.	Fs	.
D'	S	de
où	Pr	où
vient	Vvc	venir
que	Cs	que
tout	Di	tout
objet	Nc	objet
vous	Pp	vous
devient	Vvc	devenir|dévier
une	Dn	un
idole	Nc	idole
?	Fs	?
Qu'	Cs	que
à	S	à
la	Da	le
belle	Ag	beau
,	Fw	,
à	S	à
la	Da	le
laide	Ag	laid
,	Fw	,
à	S	à
la	Da	le
sage	Ag	sage
,	Fw	,
à	S	à
la	Da	le
folle	Nc	folle|fou
,	Fw	,
À	Nc	à
jeune	Ag	jeune
,	Fw	,
à	S	à
vieille	Nc	vieille|vieux
,	Fw	,
à	S	à
veuve	Nc	veuf|veuve
,	Fw	,
à	S	à
femme	Nc	femme
ayant	Ga	avoir
mari	Nc	mari
,	Fw	,
À	Nc	à
fille	Nc	fille
à	S	à
marier	Vvn	marier
,	Fw	,
d'	S	de
un	Dn	un
langage	Nc	langage
fleuri	Ge	fleurir
Vous	Nc	vous
allez	Vvc	aller
jour	Nc	jour
et	Cc	et
nuit	Nc	nuit
demandant	Ga	demander
du	S+Da	de+le
remède	Nc	remède
?	Fs	?
Et	Cc	et
que	Cs	que
vous	Pp	vous
a	Vuc	avoir
donc	Rg	donc
fait	Ge	faire
ce	Dd	ce
beau	Ag	beau
sexe	Nc	sexe
à	S	à
Tolède	Nc	tolède
,	Fw	,
Que	Vvc	que
vous	Pp	vous
voulez	Vvc	vouloir
ainsi	Rg	ainsi
l'	Pp	il
exterminer	Vvn	exterminer
par	S	par
feu	Nc	feu
?	Fs	?
Et	Cc	et
de	S	de
grâce	Nc	grâce
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
épargnez	Vvc	épargner
-les	Vvn	-les
un	Dn	un
peu	Rg	peu
.	Fs	.
La	Da	le
fille	Nc	fille
de	S	de
dix	Nc	dix
ans	Nc	an
,	Fw	,
et	Cc	et
la	Da	le
sexagénaire	Nc	sexagénaire
,	Fw	,
(	Fw	(
Chose	Nc	chose
que	Cs	que
devant	S	devant
vous	Pp	vous
personne	Pi	personne
n'	Rp	ne
a	Vuc	avoir
vu	Ge	voir
faire	Vvn	faire
,	Fw	,
)	Fw	)
Ont	Vvc	ont
en	S	en
vous	Pp	vous
un	Dn	un
Amant	Nc	amant
qui	Pr	qui
leur	Pp	leur
fait	Vvc	faire
les	Da	le
yeux	Nc	œil
doux	Ag	doux
,	Fw	,
Et	Vvc	et
vous	Pp	vous
leur	Pp	leur
en	Pp	en
voulez	Vvc	vouloir
,	Fw	,
à	S	à
cause	Nc	cause
(	Fw	(
dites	Vvc	dire
-vous	Nc	-vous
)	Fw	)
Que	Vvc	que
l'	Da	le
une	Pi	un
en	Pp	en
sait	Vvc	savoir
beaucoup	Rg	beaucoup
,	Fw	,
et	Cc	et
l'	Da	le
autre	Pi	autre
n'	Rp	ne
en	Pp	en
sait	Vvc	savoir
guères	Rg	guères
,	Fw	,
Et	Vvc	et
des	Dn	un
rares	Ag	rare
beautés	Nc	beauté
,	Fw	,
et	Cc	et
des	S+Da	de+le|de+les
beautés	Nc	beauté
vulgaires	Ag	vulgaire
,	Fw	,
Je	Vvc	je
vois	Vvc	voir
qu'	Cs	que
également	Rg	également
vous	Pp	vous
vous	Pp	vous
sentez	Vvc	sentir
féru	Ge	férir
;	Fw	;
Il	Vvc	il
faut	Vvc	faillir|falloir
(	Fw	(
ce	Pd	ce
que	Pr	que
de	S	de
vous	Pp	vous
je	Pp	je
n'	Rp	ne
aurais	Vuc	avoir
jamais	Rg	jamais
cru	Ge	croire|croître
)	Fw	)
Que	Vvc	que
vous	Pp	vous
soyez	Vuc	être
,	Fw	,
sans	S	sans
doute	Nc	doute
,	Fw	,
un	Dn	un
fourbe	Nc	fourbe
très	Rg	très
insigne	Nc	insigne
.	Fs	.
Mais	Cc	mais
d'	S	de
un	Dn	un
homme	Nc	homme
d'	S	de
honneur	Nc	honneur
,	Fw	,
cette	Dd	ce
vie	Nc	vie
est	Vuc	être
indigne	Ag	indigne
.	Fs	.
Et	Cc	et
quoi	Pt	quoi
,	Fw	,
vous	Pp	vous
assiégez	Vvc	assiéger
jour	Nc	jour
et	Cc	et
nuit	Nc	nuit
des	S+Da	de+le|de+les
maisons	Nc	maison
?	Fs	?
Contre	S	contre
la	Da	le
chasteté	Nc	chasteté
brassant	Ga	brasser
des	Dn	un
trahisons	Nc	trahison
,	Fw	,
Vis-à-vis	Vvc	vis-à-vis
d'	S	de
un	Dn	un
Balcon	Nc	balcon
,	Fw	,
ou	Cc	ou
d'	S	de
une	Dn	un
jalousie	Nc	jalousie
,	Fw	,
Vous	Nc	vous
faites	Vvc	faire
jour	Nc	jour
et	Cc	et
nuit	Nc	nuit
l'	Da	le
homme	Nc	homme
qui	Pr	qui
s'	Pp	se
extasie	Vvc	extasier
?	Fs	?
À	Vvc	à
l'	Da	le
Église	Nc	église
,	Fw	,
où	Pr	où
l'	Pp	il
on	Pp	on
doit	Vvc	devoir
seulement	Rg	seulement
prier	Vvn	prier
Dieu	Nc	dieu
,	Fw	,
Vous	Nc	vous
n'	Rp	ne
allez	Vvc	aller
qu'	Rg	que
à	S	à
dessein	Nc	dessein
d'	S	de
y	Pp	y
mettre	Vvn	mettre
tout	Pi	tout
en	S	en
feu	Nc	feu
?	Fs	?
Là	Vvc	là
vos	Ds	votre
yeux	Nc	œil
travaillant	Ga	travailler
à	S	à
faire	Vvn	faire
femmicides	Nc	femmicides
,	Fw	,
Tantôt	Vvc	tantôt
sont	Vuc	être
vus	Ge	voir
mourants	Ga	mourir
,	Fw	,
et	Cc	et
de	S	de
larmes	Nc	larme
humides	Ag	humide
?	Fs	?
Tantôt	Vvc	tantôt
jetant	Ga	jeter
le	Da	le
feu	Nc	feu
comme	S	comme
miroirs	Nc	miroir
ardents	Ag	ardent
,	Fw	,
Vont	Vvc	aller
sur	S	sur
les	Da	le
pauvres	Nc	pauvre
coeurs	Nc	cœur
,	Fw	,
flèches	Vvc	flécher
de	S	de
feu	Nc	feu
dardants	Ga	darder
?	Fs	?
Comme	Cs	comme
on	Pp	on
ne	Rp	ne
blesse	Vvc	blesser
pas	Rg	pas
toujours	Rg	toujours
ce	Pd	ce
que	Pr	que
l'	Pp	il
on	Pp	on
tire	Vvc	tirer
,	Fw	,
Je	Vvc	je
vois	Vvc	voir
quelques	Di	quelque
beautés	Nc	beauté
qui	Pr	qui
ne	Rp	ne
s'	Pp	se
en	Pp	en
font	Vvc	faire
que	Rg	que
rire	Vvn	rire
.	Fs	.
De	S	de
celles	Pd	celui
-là	Vvc	-là
,	Fw	,
Monsieur	Nc	monsieur
,	Fw	,
le	Da	le
nombre	Nc	nombre
est	Vuc	être
bien	Rg	bien
plus	Rg	plus
grand	Ag	grand
,	Fw	,
Que	Vvc	que
de	S	de
celles	Pd	celui
de	S	de
qui	Pr	qui
le	Da	le
coeur	Nc	cœur
à	S	à
vous	Pp	vous
se	Pp	il
rend	Vvc	rendre
;	Fw	;
Et	Vvc	et
je	Pp	je
vois	Vvc	voir
bien	Rg	bien
souvent	Rg	souvent
que	Cs	que
toute	Di	tout
l'	Da	le
énergie	Nc	énergie
,	Fw	,
De	Vvc	de
ces	Dd	ce
traits	Nc	trait|traits
raffinés	Ge	raffiner
de	S	de
la	Da	le
blanche	Nc	blanche
Magie	Vvc	magie
,	Fw	,
Opèrent	Vvc	opèrent
moins	Rg	moins
pour	S	pour
vous	Pp	vous
,	Fw	,
pauvre	Nc	pauvre
amoureux	Ag	amoureux
transi	Ge	transir
,	Fw	,
Que	Vvc	que
pour	S	pour
moi	Pp	je
qui	Pr	qui
m'	Pp	je
en	Pp	en
ris	Vvc	rire
,	Fw	,
et	Cc	et
bien	Rg	bien
d'	S	de
autres	Pi	autre
aussi	Rg	aussi
,	Fw	,
Si	Vvc	si
les	Da	le
réflexions	Nc	réflexion
qui	Pr	qui
sans	S	sans
cesse	Nc	cesse
me	Pp	je
viennent	Vvc	venir
...	Fs	...
Ce	Vvc	ce
faquin	Nc	faquin
dit	Vvc	dire
souvent	Rg	souvent
des	Dn	un
choses	Nc	chose
qui	Pr	qui
surprennent	Vvc	surprendre
,	Fw	,
Tu	Vvc	tu
devais	Vvc	devoir
seulement	Rg	seulement
faire	Vvn	faire
des	Dn	un
questions	Nc	question
,	Fw	,
Et	Vvc	et
tu	Pp	tu
me	Pp	je
fais	Vvc	faire
ici	Rg	ici
des	Dn	un
prédications	Nc	prédication
.	Fs	.
N'	Rp	ne
importe	Vvc	importer
,	Fw	,
tu	Pp	tu
m'	Pp	je
as	Vuc	avoir
pris	Ge	prendre
en	S	en
humeur	Nc	humeur
de	S	de
t'	Pp	tu
apprendre	Vvn	apprendre
Pourquoi	Vvc	pourquoi
de	S	de
tous	Di	tout
côtés	Nc	côté
je	Pp	je
me	Pp	je
laisse	Vvc	laisser
ainsi	Rg	ainsi
prendre	Vvn	prendre
.	Fs	.
Écoute	Nc	écoute
;	Fw	;
mais	Cc	mais
surtout	Rg	surtout
grande	Ag	grand
discrétion	Nc	discrétion
.	Fs	.
J'	Pp	je
écoute	Vvc	écouter
;	Fw	;
mais	Cc	mais
surtout	Rg	surtout
nulle	Di	nul
digression	Nc	digression
;	Fw	;
Je	Vvc	je
hais	Vvc	haïr
les	Da	le
longs	Ag	long
discours	Nc	discours
.	Fs	.
Tu	Pp	tu
te	Pp	tu
veux	Vvc	vouloir
faire	Vvn	faire
battre	Vvn	battre
,	Fw	,
Tu	Vvc	tu
t'	Pp	tu
émancipes	Vvc	émanciper
trop	Rg	trop
.	Fs	.
Je	Pp	je
n'	Rp	ne
en	Pp	en
veux	Vvc	vouloir
rien	Pi	rien
rabattre	Vvn	rabattre
,	Fw	,
Je	Vvc	je
fais	Vvc	faire
des	Dn	un
questions	Nc	question
,	Fw	,
vous	Pp	vous
me	Pp	je
l'	Pp	il
avez	Vuc	avoir
permis	Ge	permettre
.	Fs	.
Répondez	Vvc	répondez
donc	Rg	donc
,	Fw	,
mon	Ds	mon
Maître	Nc	maître
,	Fw	,
et	Cc	et
soyons	Vuc	être
bons	Ag	bon
amis	Nc	ami
.	Fs	.
Cher	Ag	cher
ami	Nc	ami
,	Fw	,
nous	Pp	nous
vivons	Vvc	vivre
trop	Rg	trop
à	S	à
la	Da	le
familière	Nc	familier
.	Fs	.
Quand	Cs	quand
un	Dn	un
valet	Nc	valet
sert	Vvc	servir
bien	Rg	bien
,	Fw	,
un	Dn	un
valet	Nc	valet
ne	Rp	ne
craint	Vvc	craindre
guère	Rg	guère
:	Fw	:
Songez	Vvc	songer
à	S	à
ma	Ds	mon
répondre	Nc	répondre
,	Fw	,
au	S+Da	à+le
lieu	Nc	lieu
de	S	de
contester	Vvn	contester
.	Fs	.
Je	Pp	je
n'	Rp	ne
y	Pp	y
gagnerais	Vvc	gagner
rien	Pi	rien
,	Fw	,
il	Pp	il
le	Pp	il
faut	Vvc	faillir|falloir
contenter	Vvn	contenter
.	Fs	.
Quand	Cs	quand
tu	Pp	tu
vois	Vvc	voir
que	Cs	que
d'	S	de
amour	Nc	amour
,	Fw	,
je	Pp	je
soupire	Vvc	soupirer
et	Cc	et
je	Pp	je
pleure	Vvc	pleurer
,	Fw	,
Ne	Vvc	ne
crois	Vvc	croire|croître
pas	Rg	pas
pour	S	pour
cela	Pd	cela
,	Fw	,
cher	Ag	cher
ami	Nc	ami
,	Fw	,
que	Cs	que
j'	Pp	je
en	Pp	en
meure	Vvc	murer
;	Fw	;
À	Nc	à
toutes	Di	tout
quelquefois	Rg	quelquefois
tu	Pp	tu
penses	Vvc	penser
que	Cs	que
j'	Pp	je
en	Pp	en
veux	Vvc	vouloir
,	Fw	,
Au	Vvc	au
diable	Ag	diable
si	Cs	si
je	Pp	je
suis	Vuc	être
de	S	de
pas	Rg	pas
une	Dn	un
amoureux	Ag	amoureux
:	Fw	:
Quand	Cs	quand
j'	Pp	je
offre	Vvc	offrir
à	S	à
des	Dn	un
beaux	Ag	beau
yeux	Nc	œil
mon	Ds	mon
âme	Nc	âme
en	S	en
sacrifice	Nc	sacrifice
,	Fw	,
C'	Vvc	c'
est	Vuc	être
moins	Rg	moins
par	S	par
passion	Nc	passion
que	Pr	que
j'	Pp	je
aime	Vvc	aimer
,	Fw	,
que	Cs	que
par	S	par
vice	Nc	vice
;	Fw	;
Je	Vvc	je
deviens	Vvc	devenir
amoureux	Ag	amoureux
,	Fw	,
et	Cc	et
si	Cs	si
je	Pp	je
n'	Rp	ne
aime	Vvc	aimer
rien	Pi	rien
;	Fw	;
Lorsqu'	Vvc	lorsqu'
on	Pp	on
me	Pp	je
traite	Vvc	traiter
mal	Rg	mal
,	Fw	,
lorsqu'	Cs	lorsque
on	Pp	on
me	Pp	je
traite	Vvc	traiter
bien	Rg	bien
,	Fw	,
En	Vvc	en
l'	Da	le
un	Pi	un
et	Cc	et
l'	Da	le
autre	Ag	autre
état	Nc	état
mon	Ds	mon
feu	Nc	feu
paraît	Vvc	paraître
extrême	Ag	extrême
;	Fw	;
Mais	Vvc	mais
sais	Vvc	savoir
-tu	Vvn	-tu
bien	Rg	bien
pour	S	pour
qui	Pr	qui
je	Pp	je
brûle	Vvc	brûler
?	Fs	?
Pour	S	pour
moi	Pp	je
-même	Vvc	-même
.	Fs	.
Prétendez	Vvc	prétendez
-vous	Nc	-vous
,	Fw	,
Monsieur	Nc	monsieur
,	Fw	,
avoir	Vun	avoir
bien	Rg	bien
des	Dn	un
rivaux	Nc	rival
?	Fs	?
Tais	Vvc	taire
-toi	Vvc	-toi
